,COUNTRY,ZIPCODE,SCORE,CAMIS
0,USA,10451,9.081081081,157
1,USA,10001,9.115789474,509
2,USA,11430,9.661971831,148
3,USA,11236,9.865384615,111
4,USA,10452,9.943820225,101
5,USA,11234,10.02919708,152
6,USA,10472,10.21,108
7,USA,11217,10.21491228,254
8,USA,10004,10.375,142
9,USA,11368,10.41353383,290
10,USA,11201,10.46103896,345
11,USA,11231,10.53472222,159
12,USA,10306,10.55555556,111
13,USA,11369,10.56382979,104
14,USA,11237,10.57575758,179
15,USA,10301,10.6091954,103
16,USA,10019,10.6195122,660
17,USA,11105,10.64035088,123
18,USA,10462,10.67857143,148
19,USA,11218,10.68217054,147
20,USA,11209,10.69396552,264
21,USA,10007,10.69491525,139
22,USA,10461,10.72857143,154
23,USA,11207,10.73109244,136
24,USA,10023,10.75294118,197
25,USA,11222,10.75301205,193
26,USA,10065,10.83333333,173
27,USA,11225,10.84042553,101
28,USA,11204,10.9380531,123
29,USA,10022,10.98896247,488
30,USA,11101,11.00471698,250
31,USA,10468,11.01052632,107
32,USA,11435,11.05,106
33,USA,10458,11.18644068,196
34,USA,11361,11.2,119
35,USA,10463,11.20168067,128
36,USA,10036,11.20934579,593
37,USA,11106,11.24822695,156
38,USA,11215,11.29411765,372
39,USA,11238,11.30653266,246
40,USA,10467,11.31125828,169
41,USA,10027,11.37162162,163
42,USA,11232,11.38383838,106
43,USA,11385,11.40528634,252
44,USA,11103,11.40641711,209
45,USA,10017,11.42105263,376
46,USA,11432,11.46327684,188
47,USA,10024,11.52150538,202
48,USA,10011,11.53349282,463
49,USA,11226,11.53645833,201
50,USA,10010,11.5470852,246
51,USA,11373,11.58937198,225
52,USA,10009,11.66064982,312
53,USA,10012,11.66395664,402
54,USA,11219,11.6875,105
55,USA,10038,11.69281046,168
56,USA,11221,11.71717172,111
57,USA,10016,11.76470588,414
58,USA,10014,11.7890411,408
59,USA,11230,11.80208333,102
60,USA,10028,11.81151832,214
61,USA,10003,11.84329564,675
62,USA,10025,11.8436019,237
63,USA,11358,11.85714286,143
64,USA,11206,11.87022901,154
65,USA,11203,11.9047619,141
66,USA,10002,11.92718447,474
67,USA,11375,11.93181818,196
68,USA,10018,11.94805195,333
69,USA,11214,11.95121951,180
70,USA,10013,12.06912442,480
71,USA,10314,12.11976048,185
72,USA,11223,12.12727273,185
73,USA,10034,12.16666667,106
74,USA,10029,12.17977528,197
75,USA,11216,12.21768707,166
76,USA,11208,12.25471698,116
77,USA,11205,12.25735294,145
78,USA,11211,12.36728395,365
79,USA,11229,12.53731343,142
80,USA,10021,12.72262774,152
81,USA,10128,12.79333333,159
82,USA,11372,12.81533101,319
83,USA,10032,12.84821429,117
84,USA,11249,12.8828125,155
85,USA,11354,12.96676737,361
86,USA,11377,12.99481865,214
87,USA,10033,13.17431193,120
88,USA,11220,13.20629371,317
89,USA,11235,13.35403727,176
90,USA,11104,13.65048544,114
91,USA,11355,14.17977528,197
